fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight187,2,1,5.0,9.0,14.0,22.0,5.0,10.0,16.0,24.0,2.0,3.0,0.0,0.0,2.0,6.0,12.0,19.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,5.0,13.0,18.0,0.0,0.0,55.0,63.0,66.0,0.0,2.0,0.0,0.0,0.0,137.0,114.0
fight190,2,1,18.0,68.0,16.0,40.0,18.0,68.0,16.0,40.0,0.0,0.0,2.0,2.0,11.0,54.0,6.0,24.0,5.0,11.0,5.0,10.0,2.0,3.0,5.0,6.0,17.0,67.0,15.0,39.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0
fight192,2,1,15.0,44.0,21.0,48.0,18.0,50.0,24.0,51.0,0.0,0.0,1.0,2.0,4.0,28.0,12.0,36.0,1.0,3.0,4.0,6.0,10.0,13.0,5.0,6.0,11.0,37.0,13.0,35.0,2.0,3.0,6.0,9.0,2.0,4.0,2.0,4.0,0.0,0.0,34.0,43.0,0.0,50.0,0.0,0.0,0.0,0.0,39.0,42.0
fight193,2,1,21.0,53.0,14.0,39.0,23.0,56.0,18.0,44.0,0.0,2.0,0.0,0.0,6.0,20.0,10.0,33.0,7.0,14.0,4.0,6.0,8.0,19.0,0.0,0.0,14.0,44.0,9.0,31.0,7.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight199,2,1,43.0,117.0,50.0,87.0,43.0,117.0,50.0,87.0,1.0,1.0,0.0,0.0,24.0,93.0,23.0,55.0,16.0,20.0,3.0,4.0,3.0,4.0,24.0,28.0,36.0,100.0,38.0,71.0,6.0,14.0,12.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,36.0,57.0,100.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
fight200,2,1,32.0,65.0,20.0,47.0,37.0,70.0,20.0,47.0,0.0,1.0,0.0,0.0,13.0,45.0,8.0,29.0,4.0,4.0,6.0,11.0,15.0,16.0,6.0,7.0,32.0,65.0,18.0,45.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
fight207,2,1,16.0,45.0,28.0,67.0,17.0,46.0,28.0,67.0,0.0,0.0,0.0,1.0,7.0,33.0,14.0,49.0,8.0,11.0,6.0,10.0,1.0,1.0,8.0,8.0,16.0,45.0,26.0,63.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fight210,2,1,3.0,6.0,19.0,31.0,6.0,9.0,22.0,34.0,1.0,2.0,2.0,2.0,1.0,2.0,17.0,27.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,3.0,0.0,0.0,15.0,23.0,0.0,0.0,50.0,61.0,50.0,100.0,0.0,0.0,1.0,1.0,100.0,157.0
fight211,2,1,6.0,29.0,18.0,57.0,6.0,29.0,20.0,60.0,0.0,1.0,0.0,0.0,1.0,18.0,15.0,51.0,4.0,7.0,3.0,6.0,1.0,4.0,0.0,0.0,6.0,29.0,13.0,45.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,10.0,0.0,2.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
fight212,2,1,35.0,79.0,23.0,52.0,39.0,83.0,23.0,52.0,0.0,0.0,1.0,4.0,27.0,65.0,10.0,36.0,6.0,11.0,10.0,13.0,2.0,3.0,3.0,3.0,33.0,75.0,21.0,48.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,31.0
fight213,2,1,9.0,15.0,6.0,22.0,13.0,20.0,19.0,35.0,2.0,6.0,1.0,1.0,2.0,7.0,4.0,19.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,6.0,4.0,16.0,1.0,1.0,1.0,5.0,7.0,8.0,1.0,1.0,0.0,0.0,60.0,27.0,33.0,100.0,0.0,0.0,0.0,0.0,205.0,7.0
fight217,2,1,16.0,18.0,5.0,9.0,41.0,45.0,21.0,31.0,4.0,5.0,0.0,0.0,12.0,14.0,2.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,5.0,9.0,2.0,2.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,88.0,55.0,80.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0
