fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight199,2,"[0, 0]","[[3, 4], [8, 14]]","[75.0, 57.0]","[[7, 9], [13, 22]]","[[0, 1], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[2, 101]","[[2, 3], [4, 9]]","[[1, 1], [3, 4]]","[[0, 0], [1, 1]]","[[3, 4], [1, 5]]","[[0, 0], [1, 1]]","[[0, 0], [6, 8]]",,Could Not Continue
fight203,1,"[0, 0]","[[21, 48], [29, 45]]","[43.0, 64.0]","[[21, 48], [33, 49]]","[[2, 4], [0, 0]]","[50.0, 0.0]","[0, 0]","[0, 0]","[32, 0]","[[14, 37], [13, 28]]","[[5, 9], [8, 9]]","[[2, 2], [8, 8]]","[[18, 44], [26, 42]]","[[2, 3], [3, 3]]","[[1, 1], [0, 0]]",,Submission
fight203,2,"[0, 0]","[[1, 6], [4, 8]]","[16.0, 50.0]","[[2, 7], [4, 8]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[27, 0]","[[1, 6], [3, 7]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]","[[1, 6], [4, 8]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight219,1,"[0, 0]","[[23, 60], [23, 36]]","[38.0, 63.0]","[[23, 60], [23, 37]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[0, 0]","[0, 0]","[41, 0]","[[15, 52], [10, 22]]","[[7, 7], [2, 3]]","[[1, 1], [11, 11]]","[[22, 59], [23, 36]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight219,2,"[0, 0]","[[3, 20], [6, 9]]","[15.0, 66.0]","[[3, 20], [6, 9]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[14, 14]","[[3, 20], [2, 4]]","[[0, 0], [0, 1]]","[[0, 0], [4, 4]]","[[3, 20], [6, 9]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight238,1,"[0, 0]","[[21, 37], [9, 36]]","[56.0, 25.0]","[[24, 40], [17, 45]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[44, 118]","[[9, 23], [5, 29]]","[[6, 8], [4, 5]]","[[6, 6], [0, 2]]","[[19, 35], [9, 34]]","[[2, 2], [0, 2]]","[[0, 0], [0, 0]]",,Submission
fight238,2,"[0, 0]","[[19, 24], [5, 12]]","[79.0, 41.0]","[[30, 36], [9, 17]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[2, 0]","[0, 0]","[140, 22]","[[18, 22], [0, 6]]","[[1, 2], [5, 6]]","[[0, 0], [0, 0]]","[[6, 11], [1, 7]]","[[0, 0], [4, 5]]","[[13, 13], [0, 0]]",,Submission
fight239,1,"[0, 0]","[[26, 59], [1, 16]]","[44.0, 6.0]","[[26, 59], [1, 16]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[0, 0]","[0, 0]","[3, 0]","[[7, 23], [0, 13]]","[[13, 29], [0, 2]]","[[6, 7], [1, 1]]","[[26, 59], [1, 16]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight239,2,"[0, 0]","[[1, 1], [0, 0]]","[100.0, 0.0]","[[2, 2], [0, 0]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 1]","[0, 0]","[18, 0]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight251,1,"[0, 0]","[[20, 41], [20, 44]]","[48.0, 45.0]","[[24, 45], [33, 57]]","[[0, 0], [2, 5]]","[0.0, 40.0]","[0, 0]","[0, 0]","[0, 144]","[[11, 30], [14, 36]]","[[8, 10], [4, 6]]","[[1, 1], [2, 2]]","[[17, 38], [14, 36]]","[[2, 2], [3, 4]]","[[1, 1], [3, 4]]",,Submission
