fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight83,1,"[0, 0]","[[3, 5], [1, 2]]","[60.0, 50.0]","[[5, 7], [1, 2]]","[[2, 2], [1, 3]]","[100.0, 33.0]","[1, 0]","[0, 0]","[42, 40]","[[2, 4], [1, 2]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]","[[0, 2], [1, 2]]","[[2, 2], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight92,1,"[0, 0]","[[1, 3], [3, 4]]","[33.0, 75.0]","[[13, 18], [5, 10]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[1, 0]","[0, 1]","[57, 59]","[[1, 3], [2, 3]]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]","[[0, 2], [0, 0]]","[[0, 0], [1, 1]]","[[1, 1], [2, 3]]",,Submission
fight94,1,"[0, 0]","[[10, 16], [2, 7]]","[62.0, 28.0]","[[28, 38], [6, 12]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 1]","[134, 13]","[[7, 11], [1, 5]]","[[0, 1], [0, 1]]","[[3, 4], [1, 1]]","[[3, 9], [2, 7]]","[[0, 0], [0, 0]]","[[7, 7], [0, 0]]",,Submission
fight113,1,"[0, 0]","[[14, 24], [13, 33]]","[58.0, 39.0]","[[15, 26], [35, 58]]","[[0, 0], [2, 7]]","[0.0, 28.0]","[0, 2]","[0, 0]","[10, 177]","[[9, 19], [3, 18]]","[[2, 2], [10, 15]]","[[3, 3], [0, 0]]","[[8, 18], [11, 29]]","[[5, 5], [2, 4]]","[[1, 1], [0, 0]]",,Submission
fight116,1,"[0, 0]","[[23, 69], [17, 53]]","[33.0, 32.0]","[[23, 69], [17, 53]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[1, 0]","[[15, 56], [9, 34]]","[[6, 9], [5, 11]]","[[2, 4], [3, 8]]","[[17, 62], [17, 53]]","[[0, 1], [0, 0]]","[[6, 6], [0, 0]]",,Could Not Continue
fight139,1,"[0, 0]","[[14, 25], [10, 33]]","[56.0, 30.0]","[[14, 25], [11, 35]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 1]","[0, 0]","[14, 34]","[[6, 16], [10, 32]]","[[6, 7], [0, 0]]","[[2, 2], [0, 1]]","[[14, 25], [10, 33]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight148,1,"[0, 0]","[[18, 37], [9, 16]]","[48.0, 56.0]","[[23, 42], [10, 18]]","[[1, 1], [0, 1]]","[100.0, 0.0]","[1, 0]","[0, 0]","[52, 0]","[[15, 34], [6, 11]]","[[3, 3], [1, 2]]","[[0, 0], [2, 3]]","[[14, 32], [9, 16]]","[[3, 3], [0, 0]]","[[1, 2], [0, 0]]",,Submission
fight155,1,"[0, 0]","[[2, 3], [3, 5]]","[66.0, 60.0]","[[2, 3], [3, 5]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 1]","[0, 0]","[0, 13]","[[0, 1], [1, 2]]","[[0, 0], [1, 2]]","[[2, 2], [1, 1]]","[[2, 3], [3, 5]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight157,1,"[0, 0]","[[3, 4], [2, 5]]","[75.0, 40.0]","[[7, 9], [13, 16]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[154, 0]","[[2, 3], [1, 4]]","[[0, 0], [1, 1]]","[[1, 1], [0, 0]]","[[2, 3], [2, 5]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight161,1,"[1, 1]","[[30, 47], [21, 33]]","[63.0, 63.0]","[[33, 52], [21, 33]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[2, 0]","[0, 0]","[39, 13]","[[18, 32], [13, 22]]","[[11, 13], [3, 3]]","[[1, 2], [5, 8]]","[[20, 34], [15, 26]]","[[8, 10], [6, 7]]","[[2, 3], [0, 0]]",,Submission
